,doi,title,year,location,series,keyword_list,author_list,country
0,10.1145/3657054.3657161,Exploring Estonia's Open Government Data Development as a Journey towards Excellence: Unveiling the Progress of Local Governments in Open Data Provision,2024,"Taipei, Taiwan",dg.o '24,"Benchmark, Estonia, Local government, OGD, Open Government Data, Open data ecosystem, Open data portal, Ranking, SLR, systematic literature review","['Katrin Rajamae-Soosaar', 'Anastasija Nikiforova']",Taiwan
1,10.1145/3657054.3657159,An Integrated Usability Framework for Evaluating Open Government Data Portals: Comparative Analysis of EU and GCC Countries,2024,"Taipei, Taiwan",dg.o '24,"European Union, Framework, GCC, Gulf Cooperation Council, OGD portal, Open data, Open data ecosystem, Open data portal, Open government data, Open government data portal, Sustainability, Usability","['Fillip Molodtsov', 'Anastasija Nikiforova']",Taiwan
2,10.1145/3657054.3657141,Towards a Privacy and Security-Aware Framework for Ethical AI: Guiding the Development and Assessment of AI Systems,2024,"Taipei, Taiwan",dg.o '24,"AI, AI Ethics, Artificial Intelligence, Framework, Privacy, Security, Systematic Literature Review","['Daria Korobenko', 'Anastasija Nikiforova', 'Rajesh Sharma']",Taiwan
3,10.1145/3657054.3657089,"Unlocking the Potential of Open Government Data: Exploring the Strategic, Technical, and Application Perspectives of High-Value Datasets Opening in Taiwan",2024,"Taipei, Taiwan",dg.o '24,"HVD, OGD, SDG, high-value dataset, impact, open data ecosystem, open government data, public data ecosystem, public value, sustainable development goal","['Hsien-Lee Tseng', 'Anastasija Nikiforova']",Taiwan
4,10.1145/3606305.3606309,Predictive Analytics intelligent decision-making framework and testing it through sentiment analysis on Twitter data,2023,"Ruse, Bulgaria",CompSysTech '23,[],"['Otmane Azeroual', 'Radka Nacheva', 'Anastasija Nikiforova', 'Uta St\\""{o}rl', 'Amel Fraisse']",Bulgaria
5,10.1016/j.datak.2023.102152,ISO/IEC 25012-based methodology for managing data quality requirements in the development of information systems: Towards Data Quality by Design,2023,,,"Information system development, Data quality by design, Requirements specification, Data quality requirement, ISO/IEC 25012","[""C\\'{e}sar Guerra-Garc\\'{\\i}a"", 'Anastasija Nikiforova', ""Samantha Jim\\'{e}nez"", ""H\\'{e}ctor Perez-Gonzalez"", ""Marco Ram\\'{\\i}rez-Torres"", ""Luis Onta\\~{n}on-Garc\\'{\\i}a""]",
6,10.3233/IP-220057,The role of open government data and co-creation in crisis management: Initial conceptual propositions from the COVID-19 pandemic,2023,,,"Crisis management, open government data, digital government, innovation, COVID-19, crisis, co-creation, OGD, open data","['Keegan McBride', 'Anastasija Nikiforova', 'Martin Lnenicka', 'Shirley Kempeneer', 'Johan Wolswinkel']",
7,10.1504/ijbis.2023.134956,The study of PGP web of trust based on social network analysis,2023,,,"online interaction, online community, pretty good privacy, PGP, web of trust, social network analysis, SNA, centrality analysis, K-means clustering analysis","['Victor Chang', 'Lina Xiao', 'Anastasija Nikiforova', 'Qianwen Xu', 'Ben Liu']",
8,10.1145/3560107.3560143,Barriers to Openly Sharing Government Data: Towards an Open Data-adapted Innovation Resistance Theory,2022,"Guimar\~{a}es, Portugal",ICEGOV '22,"Barrier, Innovation Resistance Theory, OGD, Open Government Data, Open data","['Anastasija Nikiforova', 'Anneke Zuiderwijk']",Portugal
9,10.1145/3494193.3494243,Towards enrichment of the open government data: a stakeholder-centered determination of High-Value Data sets for Latvia,2022,"Athens, Greece",ICEGOV '21,"Open government data, high-value data set, respondent, stakeholder, survey",['Anastasija Nikiforova'],Greece
10,10.1016/j.tele.2021.101745,Benchmarking open data efforts through indices and rankings: Assessing development and contexts of use,2022,,,"Open data, Benchmarking, Index, Ranking, Development, Indicator","['Martin Lnenicka', 'Mariusz Luterek', 'Anastasija Nikiforova']",
11,10.1016/j.procs.2022.10.171,Combining Data Lake and Data Wrangling for Ensuring Data Quality in CRIS,2022,,,"CRIS, research information, research information system, heterogeneous data sources, data quality, data wrangling, data lifecycle, data consolidation, data lake, data cleaning, data warehouse, data lakehouse","['Otmane Azeroual', 'Joachim Sch\\""{o}pfel', 'Dragan Ivanovic', 'Anastasija Nikiforova']",
