,doi,title,year,location,series,keyword_list,author_list,country
0,10.1145/3614321.3614353,Assessment of public information understanding using plain language and data visualization,2023,"Belo Horizonte, Brazil",ICEGOV '23,[],"['Rodrigo Oliveira', 'Claudia Cappelli', 'Jonice Oliveira']",Brazil
1,10.1145/3598469.3598560,Method for Evaluating the Use of Plain Language in Interfaces of Public Service Portals,2023,"Gda?sk, Poland",dg.o '23,[],"['Vanessa Nunes', 'Claudia Cappelli', 'Rodrigo Michel De Moraes', 'Rodrigo Oliveira', 'Jose Costa Da Silva']",Poland
2,10.1145/3535511.3535533,Supporting Interorganizational Relationships Management,2022,"Curitiba, Brazil",SBSI '22,"Cross-organizational collaboration, Interorganizational relationship, Organizational alignment, Public partnership","['Bruna Diirr', 'Claudia Cappelli', 'Douglas Oliveira', 'Gleison Santos', ""Jos\\'{e} Borges""]",Brazil
3,10.1145/3494193.3494251,Exploring the Challenges of ICT Governance in Brazilian Smart Cities,2022,"Athens, Greece",ICEGOV '21,"Brazilian Cities, Governance Challenges, ICT Governance, Smart City","['Luiz Reis', 'Flavia Bernardini', 'Simone Leal Ferreira', 'Claudia Cappelli']",Greece
4,10.1145/3466933.3466937,An indicator of inefficient visualizations: the challenge of transparency during the COVID-19 pandemic in Brazil: An indicator of inefficient visualizations: the challenge of transparency during the COVID-19 pandemic in Brazil,2021,"Uberl\^{a}ndia, Brazil",SBSI '21,[],"['Rodrigo Oliveira', 'Claudia Cappelli', 'Jonice Oliveira']",Brazil
5,10.1145/3463677.3463729,An ICT governance analysis for the digital and smart transformation of Brazilian municipalities,2021,"Omaha, NE, USA",dg.o '21,"Brazilian Municipalities, Digital Transformation, ICT Governance, Smart Cities, Smart Government, Subnational Government, Transparency","['Luiz Claudio Diogo Reis', 'Flavia Cristina Bernardini', 'Simone Bacellar Leal Ferreira', 'Claudia Cappelli']",USA
6,10.1145/3463677.3463682,ICT Governance in Brazilian Smart Cities: An Integrative Approach in the Context of Digital Transformation,2021,"Omaha, NE, USA",dg.o '21,"Brazilian Cities, Digital Transformation, Governance Practices, ICT Governance, Smart City","['Luiz Claudio Diogo Reis', 'Flavia Cristina Bernardini', 'Simone Bacellar Leal Ferreira', 'Claudia Cappelli']",USA
7,10.1504/ijbidm.2021.112989,Method for improvement of transparency: use of text mining techniques for reclassification of governmental expenditures records in Brazil,2021,,,"e-government, data mining, open government, text mining, transparency, KNIME, knowledge discovery, techniques, Brazil","['Gustavo Almeida', 'Kate Revoredo', 'Claudia Cappelli', 'Cristiano Maciel']",
8,10.1145/3411564.3411632,"BPMN pra GERAL, business process models in a citizen language",2020,"S\~{a}o Bernardo do Campo, Brazil",SBSI '20,"Transparency, Design Science Research, Business Process Understandability, Business Process Modeling","['Luiz Carvalho', 'Claudia Cappelli', ""Fl\\'{a}via Santoro""]",Brazil
9,10.1145/3428502.3428598,Towards a COBIT5 approach to ICT governance requirements in smart cities,2020,"Athens, Greece",ICEGOV '20,"COBIT5, ICT Governance, Smart City, Smart Governance","['Luiz Reis', 'Simone Ferreira', 'Flavia Bernardini', 'Claudia Cappelli']",Greece
