,doi,title,year,location,series,keyword_list,author_list,country
0,10.1145/3657054.3657274,Enhancing Transparency through Explainable Artificial Intelligence: An Exploratory Analysis on Collusion and Corruption Scenario in Digital Government,2024,"Taipei, Taiwan",dg.o '24,"Collusion, Corruption, Digital Government, Explainable Artificial Intelligence, Transparency","['Igor Sampaio', 'Sergio Fontes', 'Eduardo Andrade', 'Flavia Bernardini', 'Jose Viterbo']",Taiwan
1,10.1145/3657054.3657118,A Framework for Implanting Citizen-Sourcing Platforms in Municipal Ombudsman Offices,2024,"Taipei, Taiwan",dg.o '24,"Adoption, Citizen-Sourcing, Crowdsourcing, Framework, Ombudsman","['Jean Zahn', ""Jos\\'{e} Viterbo"", 'Cristiano Maciel', 'Flavia Bernardini']",Taiwan
2,10.1145/3657054.3657079,Exploring Interpretability in Open Government Data with ChatGPT,2024,"Taipei, Taiwan",dg.o '24,"Open government data, data interpretability","['Raissa Barcellos', 'Flavia Bernardini', 'Anneke Zuiderwijk', 'Jose Viterbo']",Taiwan
3,10.1145/3614321.3614355,Assessment of the Nursing Observatory as a support tool to combat the contamination of nursing professionals by COVID,2023,"Belo Horizonte, Brazil",ICEGOV '23,"Covid-19, Nursing, Nursing Observatory","['Matheus Cruz', 'Marcelo Persegona', 'Neyson P. Freire', 'Flavia Bernardini', 'Julia Marcolino Persegona', 'Vanessa Nunes', 'Raissa Barcelos']",Brazil
4,10.1145/3614321.3614322,FGT-SAMK-NN: impact of the right to be forgotten using a lazy algorithm in data stream learning,2023,"Belo Horizonte, Brazil",ICEGOV '23,"Data Stream, Data Stream Learning, Lazy Learning, Right to Be Forgotten, SamK-NN","['Eduardo Peniche', 'Leandro Miranda', 'Flavia Bernardini', 'Jose Viterbo']",Brazil
5,10.1145/3598469.3598559,Hippolyta: a framework to enhance open data interpretability and empower citizens,2023,"Gda?sk, Poland",dg.o '23,"Data Interpretability, e-government, open data","['Raissa Barcellos', 'Flavia Bernardini', 'Jose Viterbo', 'Anneke Zuiderwijk']",Poland
6,10.1007/s10209-022-00955-y,A process for improving the quality and interpretability of data visualizations,2022,,,"Data visualization, Open government data, Interpretability","['Raissa Barcellos', ""Jos\\'{e} Viterbo"", 'Flavia Bernardini']",
7,10.1145/3560107.3560301,Unified vocabulary in Official Gazettes: An exploratory study on procurement data,2022,"Guimar\~{a}es, Portugal",ICEGOV '22,"official gazette, open government data, publication pattern, unified vocabulary","['Ruben Interian', 'Isela Mendoza', 'Flavia Bernardini', ""Jos\\'{e} Viterbo""]",Portugal
8,10.1016/j.is.2021.101961,Towards defining data interpretability in open data portals: Challenges and research opportunities,2022,,,"Data interpretability, Open data portals","['Raissa Barcellos', 'Flavia Bernardini', ""Jos\\'{e} Viterbo""]",
9,10.1007/s10462-021-10094-0,A survey on the use of machine learning methods in context-aware middlewares for human activity recognition,2022,,,"Machine learning, Human activity recognition, Context-aware middleware","['Leandro Miranda', ""Jos\\'{e} Viterbo"", ""Fl\\'{a}via Bernardini""]",
10,10.1145/3494193.3494251,Exploring the Challenges of ICT Governance in Brazilian Smart Cities,2022,"Athens, Greece",ICEGOV '21,"Brazilian Cities, Governance Challenges, ICT Governance, Smart City","['Luiz Reis', 'Flavia Bernardini', 'Simone Leal Ferreira', 'Claudia Cappelli']",Greece
11,10.1109/FIE49875.2021.9637207,An Overview on the Use of Educational Data Mining for Constructing Recommendation Systems to Mitigate Retention in Higher Education,2021,"Lincoln, NE, USA",,[],"['Thiago De Oliveira', 'Flavia Bernardini', ""Jos\\'{e} Viterbo""]",USA
12,10.1504/ijbidm.2021.114469,PPM-HC: a method for helping project portfolio management based on topic hierarchy learnings,2021,,,"project portfolio management, PPM, projects categorisation, topic hierarchy learning, hierarchical clustering","['Ricardo Pinto', 'Flavia Bernardini', 'Ricardo Marcacini']",
13,10.1145/3428502.3428598,Towards a COBIT5 approach to ICT governance requirements in smart cities,2020,"Athens, Greece",ICEGOV '20,"COBIT5, ICT Governance, Smart City, Smart Governance","['Luiz Reis', 'Simone Ferreira', 'Flavia Bernardini', 'Claudia Cappelli']",Greece
14,10.1109/FIE44824.2020.9274184,Teaching CT through Internet of Things in High School: Possibilities and Reflections,2020,Uppsala,,[],"['Gelson Schneider', 'Flavia Bernardini', 'Clodis Boscarioli']",Uppsala
15,10.1504/ijsn.2020.109691,Evaluating the behaviour of stream learning algorithms for detecting invasion on wireless networks,2020,,,"stream learning, intrusion detection systems, IDSs, wireless networks","[""Cl\\'{a}udio Alves"", ""Fl\\'{a}via Bernardini"", 'Edwin Meza', 'Leandro Sousa']",
16,10.1016/j.ins.2019.01.032,Mining direct acyclic graphs to find frequent substructures&nbsp;—&nbsp;An experimental analysis on educational data,2019,,,"Graph mining, Educational mining, Undergraduate program","['Jefferson Costa', 'Flavia Bernardini', 'Danilo Artigas', ""Jos\\'{e} Viterbo""]",
17,10.1016/j.procs.2019.09.173,A Model Based on LSTM Neural Networks to Identify Five Different Types of Malware,2019,,,"Machine Learning, Deep Learning, Neural Networks, Malware Classification","['Eduardo Andrade', ""Jos\\'{e} Viterbo"", 'Cristina Vasconcelos', ""Joris Gu\\'{e}rin"", 'Flavia Bernardini']",
18,10.1109/ISI.2018.8587316,Identifying Privacy Functional Requirements for Crowdsourcing Applications in Smart Cities,2018,"Miami, FL, USA",,[],"['M\\^{o}nica Silva', ""Jos\\'{e} Viterbo"", 'Flavia Bernardini', 'Cristiano Maciel']",USA
19,10.1145/3229345.3229358,A framework for constructing open data map visualizations,2018,"Caxias do Sul, Brazil",SBSI '18,"Information Visualization in Maps, Open Government Data, Transparency","['Victor Santos', 'Pedro Camara', 'Flavia Bernardini', 'Jose Viterbo', 'Douglas Jorge']",Brazil
20,10.1145/3209281.3209377,How cities categorize datasets in their open data portals: an exploratory analysis,2018,"Delft, The Netherlands",dg.o '18,"categories in portals, electronic government, urban open data portals","['Higor Pinto', 'Flavia Bernardini', ""Jos\\'{e} Viterbo""]",The Netherlands
21,10.1145/3209281.3209370,An instrument for evaluating open data portals: a case study in Brazilian cities,2018,"Delft, The Netherlands",dg.o '18,"open data portals evaluation, open government data, transparency, urban data","['Viviann Machado', 'Gabriel Mantini', ""Jos\\'{e} Viterbo"", 'Flavia Bernardini', 'Raissa Barcellos']",The Netherlands
22,10.1145/3209281.3209354,A rationale for data governance as an approach to tackle recurrent drawbacks in open data portals,2018,"Delft, The Netherlands",dg.o '18,"data governance, open data portal, open government data","['Juan Reis', ""Jos\\'{e} Viterbo"", 'Flavia Bernardini']",The Netherlands
23,10.1145/3085228.3085294,Transparency in practice: using visualization to enhance the interpretability of open data,2017,"Staten Island, NY, USA",dg.o '17,"Cluster Analysis, Data Visualization, Open government data, Sensemaking","['Raissa Barcellos', ""Jos\\'{e} Viterbo"", 'Leandro Miranda', ""Fl\\'{a}via Bernardini"", 'Cristiano Maciel', 'Daniela Trevisan']",USA
24,10.1145/3085228.3085288,City Ranking Based on Financial Flux Indicator Clustering,2017,"Staten Island, NY, USA",dg.o '17,"City Cluster, City Ranking, Economic Indicators, Financial Indicators, Smart Cities, Tendency Curves","['Mauricio Barcelos', ""Fl\\'{a}via Bernardini"", ""Andr\\'{e} Barcelos"", 'Guido Vaz Silva']",USA
25,,A Model for Data Integration and Availability in Health Government Area,2016,"Florianopolis, Santa Catarina, Brazil",SBSI '16,"E-cidade, OWL, Ontology, Protege, RDF, Semantic Web","['Ana Ferronato', 'Fernanda Pires', 'Flavia Bernardini']",Brazil
26,,Analysis of Information Retrieval in Call Center Documents - Case Study in Computer Solutions Bases.,2016,"Florianopolis, Santa Catarina, Brazil",SBSI '16,"Call Center, Cosine Similarity Vector, Information Retrieval, Okapi BM25","['Leandro Gaspar', 'Flavia Bernardini', 'Leila Weitzel']",Brazil
27,,A framework of intentional characters for simulation of social behavior,2010,"Ottawa, Ontario, Canada",SCSC '10,"BDI agents, collective behavior, machine learning, multi-agent systems, synthetic characters","[""Lu\\'{\\i}s Costa"", 'Esteban Clua', 'Gilson Giraldi', 'Flavia Bernardini', 'Reinaldo Bianchi', 'Bruno Schulze', 'Anselmo Montenegro']",Canada
