,doi,title,year,location,series,keyword_list,author_list,country
0,10.1002/asi.24764,Human‐supervised data science framework for city governments: A design science approach,2023,,,[],"['Loni Hagen', 'Mihir Patel', 'Luis Luna‐Reyes']",
1,10.1002/asi.24701,Data science curriculum in the iField,2023,,,[],"['Yin Zhang', 'Dan Wu', 'Loni Hagen', 'Il‐Yeol Song', 'Javed Mostafa', 'Sam Oh', 'Theresa Anderson', 'Chirag Shah', 'Bradley Bishop', 'Frank Hopfgartner', 'Kai Eckert', 'Lisa Federer', 'Jeffrey Saltz']",
2,10.1177/0894439320908190,Rise of the Machines? Examining the Influence of Social Bots on a Political Discussion Network,2022,,,"media politics, political communication, artificial intelligence, Twitter, social media, bots","['Loni Hagen', 'Stephen Neely', 'Thomas Keller', 'Ryan Scharf', 'Fatima Vasquez']",
3,10.1145/3463677.3463683,Contributions of Data Science to Digital Government Research: Contributions of Data Science to Digital Government Research,2021,"Omaha, NE, USA",dg.o '21,"applied data science, data mining, data science, digital government research","['Loni Hagen', 'Teresa Harrison', 'Mary Falling']",USA
4,10.1145/3372021,Social Media Use for Crisis and Emergency Risk Communications During the Zika Health Crisis,2020,,,"local government, emergency management, e-government, crisis and emergency risk communications, Twitter, Social media","['Loni Hagen', 'Stephen Neely', 'Ryan Scharf', 'Thomas Keller']",
5,10.1145/3325112.3325212,"Processes, Potential Benefits, and Limitations of Big Data Analytics: A Case Analysis of 311 Data from City of Miami",2019,"Dubai, United Arab Emirates",dg.o '19,"311 data, big data analytics, e-government, information visualization","['Loni Hagen', 'Hye Seon Yi', 'Siana Pietri', 'Thomas E. Keller']",United Arab Emirates
6,10.1177/0894439317721985,Crisis Communications in the Age of Social Media,2018,,,"social network analysis, health emergency management, crisis informatics, Zika, Twitter","['Loni Hagen', 'Thomas Keller', 'Stephen Neely', 'Nic DePaula', 'Claudia Robert-Cooperman']",
7,10.1145/3209281.3209364,Government social media communications during zika health crisis,2018,"Delft, The Netherlands",dg.o '18,"social media, local government, emergency management, e-government, crisis communications, content analysis, Twitter","['Loni Hagen', 'Ryan Scharf', 'Stephen Neely', 'Thomas Keller']",The Netherlands
8,10.1145/3209281.3209358,How big data contributes to the building of citizen-centric smart cities: the case of Namyangju city in Korea,2018,"Delft, The Netherlands",dg.o '18,"smart city, quality of life, life-cycle stage, expectancy disconfirmation, civil service complaints","['Daesung Jun', 'Loni Hagen', 'Eunmi Lee', 'Hyewon Lim', 'Dongwook Kim']",The Netherlands
9,,Emerging trends in the use and adoption of e-participation around the world,2015,"St. Louis, Missouri",ASIST '15,"virtual communication, topic modeling, text analysis, e-participation, deliberation, collective action, civic innovation","['Loni Hagen', 'Jess Kropczynski', 'Catherine Dumas', 'Jisue Lee', 'Fatima Vasquez', 'Abebe Rorissa']",Missouri
10,10.1145/2757401.2757421,Introducing textual analysis tools for policy informatics: a case study of e-petitions,2015,"Phoenix, Arizona",dg.o '15,"topic modeling, textual analysis tool, social media, policy informatics, policy analysis, natural language processing, named entity recognition, e-petition, data mining","['Loni Hagen', 'Teresa Harrison', '\\""{O}zlem Uzuner', 'Tim Fake', 'Dan Lamanna', 'Christopher Kotfila']",Arizona
11,,Electronic government around the world: current trends and future prospects,2013,"Montreal, Quebec, Canada",ASIST '13,"international information policy, electronic government","['Loni Hagen', 'Nicolau DePaula', 'Ersin Dincelli', 'Nadia Caidi', 'Abebe Rorissa']",Canada
12,10.1145/2479724.2479735,Enterprise system implementation in national and local Korean police agencies: a case study,2013,"Quebec, Canada",dg.o '13,"structuration theory, enterprise system, e-government, back office innovation",['Loni Hagen'],Canada
