,doi,title,year,location,series,keyword_list,author_list,country
0,10.1145/3657054.3657137,Public libraries and their role in raising awareness about AI and fostering inclusive civic engagement: Current practices and future development,2024,"Taipei, Taiwan",dg.o '24,"Artificial Intelligence, Civic Engagement, Collaboration, Community Involvement, Competencies building, Public Libraries, Raising Awareness","['Zong-Xian Huang', 'Mila Gasco-Hernandez', 'Aryamala Prasad', 'J. Gil-Garcia']",Taiwan
1,10.1145/3598469.3598512,Human-Centric Design in Applications for Emergency Preparedness and Response in Rural Communities: The Case of the E!App,2023,"Gda?sk, Poland",dg.o '23,"Human-centered design, digital government, emergency information, mobile app","['Aryamala Prasad', 'Mila Gasco-Hernandez', 'J. Gil-Garcia', 'Qianli Yuan']",Poland
2,10.1016/j.infoandorg.2023.100448,Achieving voluntary data sharing in cross sector partnerships: Three partnership models,2023,,,"Partnership, Interorganizational collaboration, Cross-sector social partnership, Information sharing, Data sharing","['Iryna Susha', 'Boriana Rukanova', 'Anneke Zuiderwijk', 'J. Gil-Garcia', 'Mila Gasco Hernandez']",
3,10.1145/3543434.3543481,Cross-Boundary Information Sharing Flows in Emergency Management: Proposing a Conceptual Framework,2022,"Virtual Event, Republic of Korea",dg.o '22,"Citizen-government Collaboration, Communication, Emergency management, Information sharing","['Tzuhao Chen', 'J. Gil-Garcia', 'Mila Gasco-Hernandez']",Republic of Korea
4,10.1177/0894439320979953,Overcoming the Challenges of Collaboratively Adopting Artificial Intelligence in the Public Sector,2022,,,"public sector, interorganizational collaboration, organizational routines, challenges of AI, adoption of AI","['Averill Campion', 'Mila Gasco-Hernandez', 'Slava Jankin Mikhaylov', 'Marc Esteve']",
5,10.1145/3460112.3471944,Improving Emergency Preparedness and Response in Rural Areas,2021,"Virtual Event, Australia",COMPASS '21,[],"['Karyn Doke', 'Habib Affinnih', 'Qianli Yuan', 'Mila Gasco-Hernandez', 'J. Gil-Garcia', 'Petko Bogdanov', 'Mariya Zheleva']",Australia
6,10.1145/3463677.3463701,The Role of Public Libraries in Developing Smart Cities and Communities: Comparing the Perspectives of Local Governments and Public Libraries,2021,"Omaha, NE, USA",dg.o '21,[],"['Xiaoyi Yerden', 'Ramon Gil-Garcia', 'Mila Gasco-Hernandez', 'Brian Burke']",USA
7,10.1145/3428502.3428574,Technology adoption for emergency preparedness and response in rural areas: identifying the main determinants,2020,"Athens, Greece",ICEGOV '20,"technology, rural, emergency management, disaster, adoption, acceptance, Emergency preparedness and response","['Yenisel Gulatee', 'Qianli Yuan', 'Mila Gasco-Hernandez', 'J. Gil-Garcia', 'Megan Sutherland-Mitzner', 'Theresa Pardo']",Greece
8,10.1145/3427384.3427386,Supporting Resilience in Rural Emergency Preparedness and Response Through Improved Information Access,2020,,,[],"['Karyn Doke', 'Qianli Yuan', 'Mila Gasco-Hernandez', 'Megan Sutherland-Mitzer', 'J. Gil-Garcia', 'Petko Bogdanov', 'Mariya Zheleva']",
9,10.1145/3396956.3398262,Understanding Willingness to Share Information among Citizens and Public Organizations: The Case of Emergency Preparedness and Response,2020,"Seoul, Republic of Korea",dg.o '20,"Citizen-government collaboration, Information sharing, citizen participation, communication, emergency preparedness and response, rural","['Yenisel Gulatee', 'Mila Gasco-Hernandez', 'J. Gil-Garcia']",Republic of Korea
10,10.1145/3325112.3325217,"Towards a Socio-Technical Framework for Bridging the Digital Divide in Rural Emergency Preparedness and Response: Integrating User Adoption, Heterogeneous Wide-Area Networks, and Advanced Data Science",2019,"Dubai, United Arab Emirates",dg.o '19,[],"['Mila Gasco-Hernandez', 'Mariya Zheleva', 'Petko Bogdanov', 'J. Ramon Gil-Garcia']",United Arab Emirates
11,10.1145/3243141.3243144,Reflection on new research trends: ICT-enabled innovation in the public sector,2018,,,"public sector, public innovation, open innovation, online platforms, e-governance, ICT",['Mila Gasco-Hernandez'],
