,doi,title,year,location,series,keyword_list,author_list,country
0,10.1145/3658271.3658277,How to promote descriptions in dynamic charts in light of transparency? A study on the accessibility barriers faced by citizens with severe visual impairment: Como promover descri\c{c}\~{o}es em gr\'{a}ficos din\^{a}micos \`{a} luz da transpar\^{e}ncia? Um estudo sobre as barreiras de acessibilidade enfrentadas por cidad\~{a}os com defici\^{e}ncia visual grave,2024,"Juiz de Fora, Brazil",SBSI '24,"accessibility, data visualization, information systems, transparency, visual impairment","['Jo\\~{a}o Marques', 'Simone Ferreira']",Brazil
1,10.1145/3592813.3592910,Description of dynamic images: a systematic mapping for the understanding and transparency of information that may be perceptible visually impaired citizens,2023,"Macei\'{o}, Brazil",SBSI '23,"accessibility, data visualization, information systems, systematic mapping of the literature, transparency, visual impairment","['Jo\\~{a}o Marques', 'Simone Ferreira']",Brazil
2,10.1145/3554364.3559140,Accessibility on social media: exploring congenital blind people's interaction with visual content,2022,"Diamantina, Brazil",IHC '22,"accessibility, congenital blind, social media, visual content","['Carolina Sacramento', 'Simone Ferreira']",Brazil
3,10.1145/3472301.3484343,"When just Ok, is not Ok: An Experimental Study through Sequential Chronological Cuts, with Prescriptive and Semantic Analyzes on the Dynamic Translation by VLibras Avatar",2021,"Virtual Event, Brazil",IHC '21,"Libras, VLibras, accessibility, deaf, dynamic translation","[""Andr\\'{e} Cunha Silva"", ""Tatiane S\\'{a}"", 'Ruan Diniz', 'Simone Ferreira', 'Sean Siqueira', 'Saulo Bourguignon']",Brazil
4,10.1145/3472301.3484341,The Windows 10's Color Filter Feature as an Aid for Color Blind People in the Use of Websites,2021,"Virtual Event, Brazil",IHC '21,"Accessibility, Windows color filter, color blind, color vision deficiency, user experiences","['Isa Paiva', 'Sean Siqueira', 'Simone Ferreira']",Brazil
5,10.1145/3424953.3426489,#PraCegoVer: investigating the description of visual content in brazilian online social media,2020,"Diamantina, Brazil",IHC '20,"accessibility, alternative text, social media, visual content","['Carolina Sacramento', 'Leonardo Nardi', 'Simone Ferreira', 'Jo\\~{a}o Marques']",Brazil
6,10.1145/3428502.3428598,Towards a COBIT5 approach to ICT governance requirements in smart cities,2020,"Athens, Greece",ICEGOV '20,"COBIT5, ICT Governance, Smart City, Smart Governance","['Luiz Reis', 'Simone Ferreira', 'Flavia Bernardini', 'Claudia Cappelli']",Greece
7,10.1145/3357155.3358473,"Submit or not my HCI research project to the ethics committee, that is the question",2019,"Vit\'{o}ria, Esp\'{\i}rito Santo, Brazil",IHC '19,"HCI, ethics, regulation, research ethics","[""Patr\\'{\\i}cia Amorim"", 'Carolina Sacramento', 'Eliane Capra', 'Patricia Tavares', 'Simone Ferreira']",Brazil
8,10.1145/3274192.3274226,Privacy: What is the Research Scenario in Brazilian Symposium IHC?,2018,"Bel\'{e}m, Brazil",IHC '18,"GranDIHC-BR, HCI, Privacy, systematic literature review","['Edenildo Silva', 'Bruno Torres', 'Carolina Sacramento', 'Eliane Capra', 'Simone Ferreira', 'Ana Garcia']",Brazil
9,10.1145/3274192.3274224,Mobile Application Accessibility in the Context of Visually Impaired Users,2018,"Bel\'{e}m, Brazil",IHC '18,"Accessibility, mobile applications, visual impairment","[""Cl\\'{a}udia Silva"", 'Simone Ferreira', 'Carolina Sacramento']",Brazil
