,name,doi,country,year,first_name,gender
0,Gabriela Viale Pereira,10.1145/3598469.3598543,Poland,2023,Gabriela,female
1,Lukas Klausner,10.1145/3598469.3598543,Poland,2023,Lukas,male
2,Lucy Temple,10.1145/3598469.3598543,Poland,2023,Lucy,female
3,Thomas Delissen,10.1145/3598469.3598543,Poland,2023,Thomas,male
4,Thomas Lampoltshammer,10.1145/3598469.3598543,Poland,2023,Thomas,male
5,Torsten Priebe,10.1145/3598469.3598543,Poland,2023,Torsten,male
6,Luiz Claudio Diogo Reis,10.1145/3463677.3463682,USA,2021,Luiz,male
7,Flavia Cristina Bernardini,10.1145/3463677.3463682,USA,2021,Flavia,female
8,Simone Bacellar Leal Ferreira,10.1145/3463677.3463682,USA,2021,Simone,female
9,Claudia Cappelli,10.1145/3463677.3463682,USA,2021,Claudia,female
10,Vasja Roblek,10.1145/3396956.3398263,Republic of Korea,2020,Vasja,mostly_male
11,Maja Me\v{s}ko,10.1145/3396956.3398263,Republic of Korea,2020,Maja,female
12,Anthony Simonofski,10.1145/3396956.3396985,Republic of Korea,2020,Anthony,male
13,Stefanie Van Den Storme,10.1145/3396956.3396985,Republic of Korea,2020,Stefanie,female
14,Hanne Meers,10.1145/3396956.3396985,Republic of Korea,2020,Hanne,female
15,Helen Liu,10.1145/3598469.3598474,Poland,2023,Helen,female
16,Yu-Wei Guo,10.1145/3598469.3598474,Poland,2023,Yu-Wei,andy
17,Liang-Yu Chen,10.1145/3598469.3598474,Poland,2023,Liang-Yu,andy
18,Michael Ahn,10.1145/3396956.3396993,Republic of Korea,2020,Michael,male
19,Yu-Che Chen,10.1145/3396956.3396993,Republic of Korea,2020,Yu-Che,male
20,Kihaing Cho,10.1145/3396956.3396993,Republic of Korea,2020,Kihaing,unknown
21,Chenyu Huang,10.1145/3396956.3396993,Republic of Korea,2020,Chenyu,male
22,Younhee Kim,10.1145/3396956.3396993,Republic of Korea,2020,Younhee,female
23,Seung-Hwan Myeong,10.1145/3396956.3396993,Republic of Korea,2020,Seung-Hwan,male
24,Yannis Charalabidis,10.1145/3396956.3398257,Republic of Korea,2020,Yannis,male
25,Euripidis Loukis,10.1145/3396956.3398257,Republic of Korea,2020,Euripidis,male
26,Charalampos Alexopoulos,10.1145/3396956.3398257,Republic of Korea,2020,Charalampos,male
27,Nikolaos Vogiatzis,10.1145/3396956.3398257,Republic of Korea,2020,Nikolaos,male
28,Dimitrios Kolokotronis,10.1145/3396956.3398257,Republic of Korea,2020,Dimitrios,male
29,Ralf-Martin Soe,10.1145/3598469.3598481,Poland,2023,Ralf-Martin,male
30,Kim Normann Andersen,10.1145/3396956.3396979,Republic of Korea,2020,Kim,mostly_female
31,B. Kim,10.1145/3396956.3396979,Republic of Korea,2020,B.,unknown
32,Sahng Kim,10.1145/3396956.3396990,Republic of Korea,2020,Sahng,male
33,Seung Jeon,10.1145/3396956.3396990,Republic of Korea,2020,Seung,andy
34,Hun Kwon,10.1145/3396956.3396990,Republic of Korea,2020,Hun,andy
35,Brian Poltie,10.1145/3396956.3397867,Republic of Korea,2020,Brian,male
36,Emmanuel Udoh,10.1145/3396956.3397867,Republic of Korea,2020,Emmanuel,male
37,Luis Luna-Reyes,10.1145/3396956.3397867,Republic of Korea,2020,Luis,male
38,Magdalena Ciesielska,10.1145/3598469.3598520,Poland,2023,Magdalena,female
39,Aurora Ortiz,10.1145/3598469.3598520,Poland,2023,Aurora,female
40,Bowen Liu,10.1145/3657054.3661166,Taiwan,2024,Bowen,male
